profile,account_id,month,service,cost
mm-cake-development,230930891673,2026-03-01,Amazon GuardDuty,198.02
mm-cake-development,230930891673,2026-03-01,Amazon Kinesis,20.2
mm-cake-development,230930891673,2026-03-01,Amazon Neptune,0.06
mm-cake-development,230930891673,2026-03-01,Amazon OpenSearch Service,750.73
mm-cake-development,230930891673,2026-03-01,Amazon Relational Database Service,1100.33
mm-cake-development,230930891673,2026-03-01,Amazon Route 53,6.93
mm-cake-development,230930891673,2026-03-01,Amazon Simple Queue Service,5.0
mm-cake-development,230930891673,2026-03-01,Amazon Simple Storage Service,210.6
mm-cake-development,230930891673,2026-03-01,Amazon Virtual Private Cloud,1201.38
mm-cake-development,230930891673,2026-03-01,AmazonCloudWatch,2251.28
mm-cake-development,230930891673,2026-03-01,TrendAI™ Cloud One,1368.03
mm-cake-development,230930891673,2026-04-01,AWS Config,20.68
mm-cake-development,230930891673,2026-04-01,AWS Key Management Service,1.36
mm-cake-development,230930891673,2026-04-01,AWS Lambda,0.67
mm-cake-development,230930891673,2026-04-01,AWS Secrets Manager,5.28
mm-cake-development,230930891673,2026-04-01,AWS Transfer Family,22.26
mm-cake-development,230930891673,2026-04-01,AWS WAF,6.84
mm-cake-development,230930891673,2026-04-01,Amazon EC2 Container Registry (ECR),23.99
mm-cake-development,230930891673,2026-04-01,Amazon ElastiCache,58.62
mm-cake-development,230930891673,2026-04-01,EC2 - Other,138.89
mm-cake-development,230930891673,2026-04-01,Amazon Elastic Compute Cloud - Compute,4.36
mm-cake-development,230930891673,2026-04-01,Amazon Elastic Load Balancing,85.68
mm-cake-development,230930891673,2026-04-01,Amazon GuardDuty,11.19
mm-cake-development,230930891673,2026-04-01,Amazon Kinesis,1.14
mm-cake-development,230930891673,2026-04-01,Amazon OpenSearch Service,41.83
mm-cake-development,230930891673,2026-04-01,Amazon Relational Database Service,63.27
mm-cake-development,230930891673,2026-04-01,Amazon Route 53,0.78
mm-cake-development,230930891673,2026-04-01,Amazon Simple Queue Service,0.28
mm-cake-development,230930891673,2026-04-01,Amazon Simple Storage Service,14.18
mm-cake-development,230930891673,2026-04-01,Amazon Virtual Private Cloud,61.39
mm-cake-development,230930891673,2026-04-01,AmazonCloudWatch,123.08
mm-cake-development,230930891673,2026-04-01,TrendAI™ Cloud One,33.31
mm-cake-r-and-d,464176945335,2026-01-03,AWS CloudTrail,0.1
mm-cake-r-and-d,464176945335,2026-01-03,AWS Config,2.17
mm-cake-r-and-d,464176945335,2026-01-03,AWS Directory Service,62.92
mm-cake-r-and-d,464176945335,2026-01-03,AWS Key Management Service,14.46
mm-cake-r-and-d,464176945335,2026-01-03,AWS Lambda,2.56
mm-cake-r-and-d,464176945335,2026-01-03,AWS Secrets Manager,3.07
mm-cake-r-and-d,464176945335,2026-01-03,AWS Security Hub,17.96
mm-cake-r-and-d,464176945335,2026-01-03,AWS WAF,10.6
mm-cake-r-and-d,464176945335,2026-01-03,Amazon DynamoDB,8.42
mm-cake-r-and-d,464176945335,2026-01-03,Amazon EC2 Container Registry (ECR),0.07
mm-cake-r-and-d,464176945335,2026-01-03,EC2 - Other,474.33
mm-cake-r-and-d,464176945335,2026-01-03,Amazon Elastic Compute Cloud - Compute,9.77
mm-cake-r-and-d,464176945335,2026-01-03,Amazon Elastic File System,0.06
mm-cake-r-and-d,464176945335,2026-01-03,Amazon Elastic Load Balancing,58.15
mm-cake-r-and-d,464176945335,2026-01-03,Amazon GuardDuty,11.03
mm-cake-r-and-d,464176945335,2026-01-03,Amazon Location Service,0.01
mm-cake-r-and-d,464176945335,2026-01-03,Amazon Simple Storage Service,7.08
mm-cake-r-and-d,464176945335,2026-01-03,Amazon Virtual Private Cloud,525.97
mm-cake-r-and-d,464176945335,2026-01-03,AmazonCloudWatch,25.08
mm-cake-r-and-d,464176945335,2026-02-01,AWS Config,2.45
mm-cake-r-and-d,464176945335,2026-02-01,AWS Directory Service,60.83
mm-cake-r-and-d,464176945335,2026-02-01,AWS Key Management Service,15.5
mm-cake-r-and-d,464176945335,2026-02-01,AWS Lambda,2.41
mm-cake-r-and-d,464176945335,2026-02-01,AWS Secrets Manager,3.27
mm-cake-r-and-d,464176945335,2026-02-01,AWS Security Hub,14.64
mm-cake-r-and-d,464176945335,2026-02-01,AWS WAF,11.86
mm-cake-r-and-d,464176945335,2026-02-01,Amazon DynamoDB,7.4
mm-cake-r-and-d,464176945335,2026-02-01,Amazon EC2 Container Registry (ECR),0.08
mm-cake-r-and-d,464176945335,2026-02-01,EC2 - Other,461.24
mm-cake-r-and-d,464176945335,2026-02-01,Amazon Elastic Compute Cloud - Compute,1.66
mm-cake-r-and-d,464176945335,2026-02-01,Amazon Elastic File System,0.06
mm-cake-r-and-d,464176945335,2026-02-01,Amazon Elastic Load Balancing,56.03
mm-cake-r-and-d,464176945335,2026-02-01,Amazon GuardDuty,10.68
mm-cake-r-and-d,464176945335,2026-02-01,Amazon Route 53,0.36
mm-cake-r-and-d,464176945335,2026-02-01,Amazon Simple Storage Service,7.81
mm-cake-r-and-d,464176945335,2026-02-01,Amazon Virtual Private Cloud,507.83
mm-cake-r-and-d,464176945335,2026-02-01,AmazonCloudWatch,25.07
mm-cake-r-and-d,464176945335,2026-03-01,AWS Config,2.22
mm-cake-r-and-d,464176945335,2026-03-01,AWS Directory Service,67.4
mm-cake-r-and-d,464176945335,2026-03-01,AWS Key Management Service,15.67
mm-cake-r-and-d,464176945335,2026-03-01,AWS Lambda,2.65
mm-cake-r-and-d,464176945335,2026-03-01,AWS Secrets Manager,3.27
mm-cake-r-and-d,464176945335,2026-03-01,AWS Security Hub,10.64
mm-cake-r-and-d,464176945335,2026-03-01,AWS WAF,11.81
mm-cake-r-and-d,464176945335,2026-03-01,Amazon DynamoDB,8.47
mm-cake-r-and-d,464176945335,2026-03-01,Amazon EC2 Container Registry (ECR),0.08
mm-cake-r-and-d,464176945335,2026-03-01,EC2 - Other,493.44
mm-cake-r-and-d,464176945335,2026-03-01,Amazon Elastic Compute Cloud - Compute,0.23
mm-cake-r-and-d,464176945335,2026-03-01,Amazon Elastic File System,0.06
mm-cake-r-and-d,464176945335,2026-03-01,Amazon Elastic Load Balancing,62.04
mm-cake-r-and-d,464176945335,2026-03-01,Amazon GuardDuty,10.57
mm-cake-r-and-d,464176945335,2026-03-01,Amazon Route 53,0.36
mm-cake-r-and-d,464176945335,2026-03-01,Amazon Simple Storage Service,8.22
mm-cake-r-and-d,464176945335,2026-03-01,Amazon Virtual Private Cloud,562.24
mm-cake-r-and-d,464176945335,2026-03-01,AmazonCloudWatch,25.88
mm-cake-r-and-d,464176945335,2026-04-01,AWS Config,0.09
mm-cake-r-and-d,464176945335,2026-04-01,AWS Directory Service,3.76
mm-cake-r-and-d,464176945335,2026-04-01,AWS Key Management Service,0.91
mm-cake-r-and-d,464176945335,2026-04-01,AWS Lambda,0.02
mm-cake-r-and-d,464176945335,2026-04-01,AWS Secrets Manager,0.19
mm-cake-r-and-d,464176945335,2026-04-01,AWS Security Hub,0.57
mm-cake-r-and-d,464176945335,2026-04-01,AWS WAF,0.67
mm-cake-r-and-d,464176945335,2026-04-01,EC2 - Other,24.65
mm-cake-r-and-d,464176945335,2026-04-01,Amazon Elastic Compute Cloud - Compute,0.01
mm-cake-r-and-d,464176945335,2026-04-01,Amazon Elastic Load Balancing,3.43
mm-cake-r-and-d,464176945335,2026-04-01,Amazon GuardDuty,0.63
mm-cake-r-and-d,464176945335,2026-04-01,Amazon Route 53,0.36
mm-cake-r-and-d,464176945335,2026-04-01,Amazon Simple Storage Service,0.57
mm-cake-r-and-d,464176945335,2026-04-01,Amazon Virtual Private Cloud,31.24
mm-cake-r-and-d,464176945335,2026-04-01,AmazonCloudWatch,1.37
mm-customer-analytics,024848459322,2026-01-03,AWS Config,0.53
mm-customer-analytics,024848459322,2026-01-03,AWS Key Management Service,0.02
mm-customer-analytics,024848459322,2026-01-03,Amazon GuardDuty,2.4
mm-customer-analytics,024848459322,2026-01-03,Amazon Location Service,0.01
mm-customer-analytics,024848459322,2026-01-03,Amazon Simple Storage Service,0.06
mm-customer-analytics,024848459322,2026-01-03,AmazonCloudWatch,0.39
mm-customer-analytics,024848459322,2026-02-01,AWS Config,0.07
mm-customer-analytics,024848459322,2026-02-01,AWS Key Management Service,0.02
mm-customer-analytics,024848459322,2026-02-01,Amazon GuardDuty,2.32
mm-customer-analytics,024848459322,2026-02-01,Amazon Simple Storage Service,0.06
mm-customer-analytics,024848459322,2026-02-01,AmazonCloudWatch,0.04
mm-customer-analytics,024848459322,2026-03-01,AWS Key Management Service,0.02
mm-customer-analytics,024848459322,2026-03-01,Amazon GuardDuty,2.58
mm-customer-analytics,024848459322,2026-03-01,Amazon Simple Storage Service,0.08
mm-customer-analytics,024848459322,2026-03-01,AmazonCloudWatch,0.04
mm-customer-analytics,024848459322,2026-04-01,Amazon GuardDuty,0.11
mm-dns-management,381491928564,2026-01-03,AWS Config,0.35
mm-dns-management,381491928564,2026-01-03,AWS Key Management Service,0.02
mm-dns-management,381491928564,2026-01-03,Amazon GuardDuty,2.28
mm-dns-management,381491928564,2026-01-03,Amazon Location Service,0.01
mm-dns-management,381491928564,2026-01-03,Amazon Route 53,0.23
mm-dns-management,381491928564,2026-01-03,Amazon Simple Storage Service,0.06
mm-dns-management,381491928564,2026-01-03,AmazonCloudWatch,0.39
mm-dns-management,381491928564,2026-02-01,AWS Config,0.07
mm-dns-management,381491928564,2026-02-01,AWS Key Management Service,0.02
mm-dns-management,381491928564,2026-02-01,Amazon GuardDuty,2.22
mm-dns-management,381491928564,2026-02-01,Amazon Route 53,3.85
mm-dns-management,381491928564,2026-02-01,Amazon Simple Storage Service,0.06
mm-dns-management,381491928564,2026-02-01,AmazonCloudWatch,0.04
mm-dns-management,381491928564,2026-03-01,AWS Key Management Service,0.02
mm-dns-management,381491928564,2026-03-01,Amazon GuardDuty,2.47
mm-dns-management,381491928564,2026-03-01,Amazon Registrar,258.0
mm-dns-management,381491928564,2026-03-01,Amazon Route 53,0.98
mm-dns-management,381491928564,2026-03-01,Amazon Simple Storage Service,0.07
mm-dns-management,381491928564,2026-03-01,AmazonCloudWatch,0.04
mm-dns-management,381491928564,2026-04-01,Amazon GuardDuty,0.11
mm-dns-management,381491928564,2026-04-01,Amazon Route 53,3.63
mm-forensics,040591922250,2026-01-03,AWS Config,3.11
mm-forensics,040591922250,2026-01-03,AWS Key Management Service,0.02
mm-forensics,040591922250,2026-01-03,EC2 - Other,0.24
mm-forensics,040591922250,2026-01-03,Amazon Location Service,0.01
mm-forensics,040591922250,2026-01-03,Amazon Simple Storage Service,0.05
mm-forensics,040591922250,2026-01-03,Amazon Virtual Private Cloud,28.32
